id,region,label,label_morph_BLEACHED,label_morph,global_label,Dominant_morphologies,fg_global,full_name,grr,grr_description
1,Atlantic,AARC,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Tube sponges,SpTube,Tube species: A. archeri; A. tubulata; C. plicifera; N. digitalis; unknown vase and small barrel group (tube opening ~ height; basal area < opening)
2,Atlantic,ACER,ACR_BRA,ACR_BRA,ACR_BRA,branching and hispidose ,Hard corals,Acropora cervicornis,ACER,Acropora cervicornis
3,Atlantic,ACOM,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Erect sponges,SpEre,Upright narrow tubes branches arborescent e.g. A. compressa. >1 cm height; height >>basal area
4,Atlantic,Acra,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Massive sponges,SpMass,Large basal area to body size and height > 5 cm; compact shape; irregular shapes include: chain-tubes spherical castle; e.g. E. ferox; Verongula sp.
5,Atlantic,AFIS,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Aplysina fistularis,AFIS,Aplysina fistularis
6,Atlantic,AGAR,ELS,ELS,ELS,"encrusting, laminar and submassive",Hard corals,Agaricia/Undaria/Leptoseris spp.,AGAR,Agariciidae. Plates and encrusting corals of the genera Agaricia Undaria and Helioseris
7,Atlantic,AMAT,EAM/CCA,EAM/CCA,EAM,Multi-specific algal assemblage smothering reef surface 1 cm or less in height,Algae,Turf algae,EAM,Multi-specific assemblages of filamentous algae < 1 cm in height
8,Atlantic,APAL,ACR_BRA,ACR_BRA,ACR_BRA,branching and hispidose ,Hard corals,Acropora palmata,APAL,Acropora palmata
9,Atlantic,ApFuCa,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Rope sponges,SpRope,Height >> basal area; Spread along the substrate. e.g. S. aura
10,Atlantic,ATUB,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Tube sponges,SpTube,Tube species: A. archeri; A. tubulata; C. plicifera; N. digitalis; unknown vase and small barrel group (tube opening ~ height; basal area < opening)
11,Atlantic,CCA,EAM/CCA,EAM/CCA,CCA,encrusting algae,Algae,CCA,EAM,Multi-specific assemblages of filamentous algae and CCA smothering reef surface 1 cm or less in height (Epilithic algal matirx)
12,Atlantic,CDEL,SPONG,SPONG,SPONG,mixed sponges,Other Invertebrates,Encrusting sponges,SpEnc,< 5 cm height (for whole individual); e.g. S. ruetzleri; Haliclona sp.; Monanchora sp.; Chondrilla sp.; Clathria sp.; C. varians
